time_date,sampleID,replicate,treatment,genus,species,site,PAMID,F,Fm,Y,colonyID,collection.depth,bleaching.score,tank,rack,rack.position,size,Region,Sector,Shelf
18/01/2019,1625,2,Ambient,Pocillopora,damicornis,13-123,1377,168,564,0.702,13-123_6,4.7,5,6,21,3,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1627,1,Ambient,Pocillopora,damicornis,13-123,1380,191,572,0.666,13-123_9,6.2,5,6,21,5,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1627,2,Ambient,Pocillopora,damicornis,13-123,1381,218,676,0.678,13-123_9,6.2,5,6,21,5,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1629,1,Ambient,Pocillopora,damicornis,13-123,1384,224,779,0.712,13-123_21,5.6,5,6,21,7,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1629,2,Ambient,Pocillopora,damicornis,13-123,1385,162,548,0.704,13-123_21,5.6,5,6,21,7,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1595,1,Ambient,Pocillopora,damicornis,13-123,1391,31,349,0.911,13-123_25,7.5,5,7,10,1,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1595,2,Ambient,Pocillopora,damicornis,13-123,1392,90,283,0.682,13-123_25,7.5,5,7,10,1,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1597,1,Ambient,Pocillopora,damicornis,13-123,1395,148,498,0.703,13-123_6,4.7,5,7,10,3,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1597,2,Ambient,Pocillopora,damicornis,13-123,1396,161,545,0.705,13-123_6,4.7,5,7,10,3,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1599,1,Ambient,Pocillopora,damicornis,13-123,1399,110,322,0.658,13-123_9,6.2,5,7,10,5,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1599,2,Ambient,Pocillopora,damicornis,13-123,1400,126,360,0.65,13-123_9,6.2,5,7,10,5,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1601,1,Ambient,Pocillopora,damicornis,13-123,1403,185,588,0.685,13-123_21,5.6,5,7,10,7,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1601,2,Ambient,Pocillopora,damicornis,13-123,1404,196,696,0.718,13-123_21,5.6,5,7,10,7,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1613,1,Ambient,Pocillopora,damicornis,13-123,1410,207,672,0.692,13-123_27,7.1,5,7,19,1,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1613,2,Ambient,Pocillopora,damicornis,13-123,1411,175,573,0.695,13-123_27,7.1,5,7,19,1,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1615,1,Ambient,Pocillopora,damicornis,13-123,1414,212,612,0.654,13-123_26,8.3,5,7,19,3,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1615,2,Ambient,Pocillopora,damicornis,13-123,1415,167,512,0.674,13-123_26,8.3,5,7,19,3,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1617,1,Ambient,Pocillopora,damicornis,13-123,1418,305,969,0.685,13-123_28,6.1,5,7,19,5,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1617,2,Ambient,Pocillopora,damicornis,13-123,1419,293,958,0.694,13-123_28,6.1,5,7,19,5,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1619,1,Ambient,Pocillopora,damicornis,13-123,1421,193,740,0.739,13-123_11,5.3,5,7,19,7,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1619,2,Ambient,Pocillopora,damicornis,13-123,1422,192,647,0.703,13-123_11,5.3,5,7,19,7,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1621,1,Ambient,Pocillopora,damicornis,13-123,1425,97,290,0.666,13-123_7,4.3,5,7,19,9,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1621,2,Ambient,Pocillopora,damicornis,13-123,1426,94,246,0.618,13-123_7,4.3,5,7,19,9,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1345,1,Ambient,Acropora,tenuis,13-123,2585,255,779,0.673,13-123_3,4,4,5,21,7,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1345,2,Ambient,Acropora,tenuis,13-123,2586,288,909,0.683,13-123_3,4,4,5,21,7,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1347,1,Ambient,Acropora,tenuis,13-123,2589,302,859,0.648,13-123_4,5.6,4,5,21,9,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1347,2,Ambient,Acropora,tenuis,13-123,2590,255,703,0.637,13-123_4,5.6,4,5,21,9,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1287,1,Ambient,Acropora,tenuis,13-123,2626,173,509,0.66,13-123_3,4,4,6,2,7,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1287,2,Ambient,Acropora,tenuis,13-123,2627,273,841,0.675,13-123_3,4,4,6,2,7,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1289,1,Ambient,Acropora,tenuis,13-123,2630,244,738,0.669,13-123_4,5.6,4,6,2,9,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1289,2,Ambient,Acropora,tenuis,13-123,2631,198,576,0.656,13-123_4,5.6,4,6,2,9,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1365,1,Ambient,Acropora,tenuis,13-123,2668,225,575,0.609,13-123_3,4,4,7,26,7,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1365,2,Ambient,Acropora,tenuis,13-123,2669,338,1001,0.662,13-123_3,4,4,7,26,7,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1367,1,Ambient,Acropora,tenuis,13-123,2672,248,804,0.692,13-123_4,5.6,4,7,26,9,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1367,2,Ambient,Acropora,tenuis,13-123,2673,305,860,0.645,13-123_4,5.6,4,7,26,9,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1323,1,Ambient,Acropora,tenuis,13-123,2531,376,1080,0.652,13-123_5,4,5,5,16,1,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1323,2,Ambient,Acropora,tenuis,13-123,2532,302,928,0.675,13-123_5,4,5,5,16,1,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1325,1,Ambient,Acropora,tenuis,13-123,2535,270,758,0.644,13-123_22,6.2,5,5,16,3,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1325,2,Ambient,Acropora,tenuis,13-123,2536,315,971,0.676,13-123_22,6.2,5,5,16,3,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1327,1,Ambient,Acropora,tenuis,13-123,2539,280,819,0.658,13-123_23,6.4,5,5,16,5,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1327,2,Ambient,Acropora,tenuis,13-123,2540,367,991,0.63,13-123_23,6.4,5,5,16,5,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1329,1,Ambient,Acropora,tenuis,13-123,2543,299,897,0.667,13-123_24,7.4,5,5,16,7,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1329,2,Ambient,Acropora,tenuis,13-123,2544,279,857,0.674,13-123_24,7.4,5,5,16,7,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1339,1,Ambient,Acropora,tenuis,13-123,2573,186,636,0.708,13-123_29,5.7,5,5,21,1,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1339,2,Ambient,Acropora,tenuis,13-123,2574,326,1017,0.679,13-123_29,5.7,5,5,21,1,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1341,1,Ambient,Acropora,tenuis,13-123,2577,288,893,0.677,13-123_1,3.8,5,5,21,3,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1341,2,Ambient,Acropora,tenuis,13-123,2578,248,809,0.693,13-123_1,3.8,5,5,21,3,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1343,1,Ambient,Acropora,tenuis,13-123,2581,276,817,0.662,13-123_2,4.1,5,5,21,5,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1343,2,Ambient,Acropora,tenuis,13-123,2582,234,692,0.662,13-123_2,4.1,5,5,21,5,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1299,1,Ambient,Acropora,tenuis,13-123,2596,311,905,0.656,13-123_5,4,5,6,5,1,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1299,2,Ambient,Acropora,tenuis,13-123,2597,231,720,0.679,13-123_5,4,5,6,5,1,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1301,1,Ambient,Acropora,tenuis,13-123,2600,294,853,0.655,13-123_22,6.2,5,6,5,3,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1301,2,Ambient,Acropora,tenuis,13-123,2601,365,1032,0.646,13-123_22,6.2,5,6,5,3,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1303,1,Ambient,Acropora,tenuis,13-123,2604,270,771,0.65,13-123_23,6.4,5,6,5,5,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1303,2,Ambient,Acropora,tenuis,13-123,2605,205,611,0.664,13-123_23,6.4,5,6,5,5,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1305,1,Ambient,Acropora,tenuis,13-123,2608,297,858,0.654,13-123_24,7.4,5,6,5,7,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1305,2,Ambient,Acropora,tenuis,13-123,2609,258,772,0.666,13-123_24,7.4,5,6,5,7,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1281,1,Ambient,Acropora,tenuis,13-123,2614,243,727,0.666,13-123_29,5.7,5,6,2,1,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1281,2,Ambient,Acropora,tenuis,13-123,2615,349,1065,0.672,13-123_29,5.7,5,6,2,1,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1283,1,Ambient,Acropora,tenuis,13-123,2618,243,748,0.675,13-123_1,3.8,5,6,2,3,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1283,2,Ambient,Acropora,tenuis,13-123,2619,234,718,0.674,13-123_1,3.8,5,6,2,3,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1285,1,Ambient,Acropora,tenuis,13-123,2622,258,769,0.664,13-123_2,4.1,5,6,2,5,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1285,2,Ambient,Acropora,tenuis,13-123,2623,193,421,0.542,13-123_2,4.1,5,6,2,5,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1291,1,Ambient,Acropora,tenuis,13-123,2637,336,1008,0.667,13-123_5,4,5,7,3,1,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1291,2,Ambient,Acropora,tenuis,13-123,2638,228,673,0.661,13-123_5,4,5,7,3,1,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1293,1,Ambient,Acropora,tenuis,13-123,2641,375,1083,0.654,13-123_22,6.2,5,7,3,3,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1293,2,Ambient,Acropora,tenuis,13-123,2642,344,990,0.653,13-123_22,6.2,5,7,3,3,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1295,1,Ambient,Acropora,tenuis,13-123,2645,385,1064,0.638,13-123_23,6.4,5,7,3,5,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1295,2,Ambient,Acropora,tenuis,13-123,2646,310,892,0.652,13-123_23,6.4,5,7,3,5,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1297,1,Ambient,Acropora,tenuis,13-123,2649,297,907,0.673,13-123_24,7.4,5,7,3,7,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1297,2,Ambient,Acropora,tenuis,13-123,2650,251,816,0.692,13-123_24,7.4,5,7,3,7,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1359,1,Ambient,Acropora,tenuis,13-123,2656,370,1006,0.632,13-123_29,5.7,5,7,26,1,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1359,2,Ambient,Acropora,tenuis,13-123,2657,353,1055,0.665,13-123_29,5.7,5,7,26,1,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1361,1,Ambient,Acropora,tenuis,13-123,2660,286,864,0.669,13-123_1,3.8,5,7,26,3,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1361,2,Ambient,Acropora,tenuis,13-123,2661,239,712,0.664,13-123_1,3.8,5,7,26,3,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1363,1,Ambient,Acropora,tenuis,13-123,2664,259,794,0.674,13-123_2,4.1,5,7,26,5,Large,Northern GBR,Princess Charlotte,Mid
16/01/2019,1363,2,Ambient,Acropora,tenuis,13-123,2665,240,736,0.674,13-123_2,4.1,5,7,26,5,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1632,1,Ambient,Pocillopora,damicornis,13-123,1311,220,743,0.704,13-123_27,7.1,5,5,23,2,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1632,2,Ambient,Pocillopora,damicornis,13-123,1312,186,615,0.698,13-123_27,7.1,5,5,23,2,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1634,1,Ambient,Pocillopora,damicornis,13-123,1315,147,387,0.62,13-123_26,8.3,5,5,23,4,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1634,2,Ambient,Pocillopora,damicornis,13-123,1316,208,549,0.621,13-123_26,8.3,5,5,23,4,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1636,1,Ambient,Pocillopora,damicornis,13-123,1319,213,634,0.664,13-123_28,6.1,5,5,23,6,Small,Northern GBR,Princess Charlotte,Mid
