SampleID,UniqueID,GenotypeID,Reef,BagID,Species,ClipID,RackID,Treatment,Chla_ug_cm2,Colour Change,CatalaseU,Protein_ug_cm2,FvFm
1292,S1258,JAN2019_13-123_A. tenuis_5,13-123,5,A. tenuis,2,3,Ambient,6.728653185,-0.278415464,0.023533185,0.040131273,0.677320312
1515,S1479,JAN2019_Creech_A. tenuis_105,Creech,105,A. tenuis,5,45,Ambient,1.341628499,-0.229012569,0.035769789,0.043630014,0.700479628
1863,S1746,JAN2019_Lagoon_A. tenuis_118,Lagoon,118,A. tenuis,3,75,Ambient,1.094491689,-0.806469,0.051132104,0.043634686,0.662395022
1407,S1371,JAN2019_Creech_A. tenuis_108,Creech,108,A. tenuis,1,8,Ambient,1.938813233,-0.617277885,0.071670929,0.046084363,0.664183838
1443,S1407,JAN2019_Creech_A. tenuis_112,Creech,112,A. tenuis,2,24,Ambient,3.956763652,-0.001179234,0.058076636,0.046490296,0.640232593
1086,S1006,JAN2019_13-124_A. tenuis_159,13-124,159,A. tenuis,3,B64,Ambient,5.256759026,-0.4739,0.044104031,0.047469584,0.692706325
1865,S1748,JAN2019_Lagoon_A. tenuis_126,Lagoon,126,A. tenuis,5,75,Ambient,2.14675897,-0.649067,0.073497015,0.048165221,0.677136127
1075,S991,JAN2019_13-124_A. tenuis_196,13-124,196,A. tenuis,2,B48,Ambient,4.152555968,-0.68256,0.185532045,0.048252478,0.65293514
1281,S1247,JAN2019_13-123_A. tenuis_29,13-123,29,A. tenuis,1,2,Ambient,5.817459861,-0.193418564,0.007929789,0.051037205,0.669025063
1444,S1408,JAN2019_Creech_A. tenuis_117,Creech,117,A. tenuis,3,24,Ambient,2.243317454,-0.921388898,0.074193223,0.052041366,0.666997693
967,S971,JAN2019_13-124_A. tenuis_163,13-124,163,A. tenuis,2,B4,Ambient,5.1668158,-0.75302,0.108943377,0.052121212,0.675621215
1422,S1386,JAN2019_Creech_A. tenuis_117,Creech,117,A. tenuis,3,11,Ambient,1.394289808,5.51857252,0.045655548,0.053193347,0.665487031
1864,S1747,JAN2019_Lagoon_A. tenuis_119,Lagoon,119,A. tenuis,4,75,Ambient,0.84267932,-0.800593,0.010141193,0.053786032,0.689834811
1282,S1248,JAN2019_13-123_A. tenuis_29,13-123,29,A. tenuis,2,2,Ambient,7.905130143,-0.067525195,0.086668987,0.054297189,0.684117171
1286,S1252,JAN2019_13-123_A. tenuis_2,13-123,2,A. tenuis,6,2,Ambient,2.652330273,-0.072272138,0.024846559,0.05440637,0.675798462
1362,S1328,JAN2019_13-123_A. tenuis_1,13-123,1,A. tenuis,4,26,Ambient,4.266495184,0.102872931,0.136719114,0.054683544,0.688109777
2243,S2155,JAN2019_11-049_A. tenuis_46,11-049,46,A. tenuis,3,23,Ambient,6.293698852,0.628111,0.044223923,0.055704653,0.642681152
2237,S2149,JAN2019_11-049_A. tenuis_37,11-049,37,A. tenuis,2,9,Ambient,2.206759009,-0.14913,0.088032011,0.057218243,0.632686846
1778,S1734,JAN2019_Lagoon_A. tenuis_21,Lagoon,21,A. tenuis,1,62,Ambient,1.945836358,-0.917298,0.065290692,0.058020243,0.679064562
1668,S1666,JAN2019_Lagoon_A. tenuis_95,Lagoon,95,A. tenuis,3,14,Ambient,1.888039241,-0.367578,0.058426149,0.058193122,0.667371215
2266,S2178,JAN2019_11-049_A. tenuis_54,11-049,54,A. tenuis,1,1,Ambient,6.938111674,0.078423,0.122963166,0.059634118,0.660058
1485,S1449,JAN2019_Creech_A. tenuis_112,Creech,112,A. tenuis,2,39,Ambient,2.570660811,-0.076869404,0.072951193,0.060033816,0.631948317
1514,S1478,JAN2019_Creech_A. tenuis_91,Creech,91,A. tenuis,4,45,Ambient,3.246590048,-0.091200365,0.081447876,0.060568799,0.676007394
1779,S1735,JAN2019_Lagoon_A. tenuis_26,Lagoon,26,A. tenuis,2,62,Ambient,2.325855616,-0.51798,0.067752594,0.06059197,0.664863473
1340,S1306,JAN2019_13-123_A. tenuis_29,13-123,29,A. tenuis,2,21,Ambient,8.882160845,-0.184963371,0.011334998,0.060997576,0.675457516
1394,S1358,JAN2019_Creech_A. tenuis_108,Creech,108,A. tenuis,1,4,Ambient,5.975503944,0.607456803,0.077141335,0.062156241,0.665908401
2289,S2201,JAN2019_11-049_A. tenuis_74,11-049,74,A. tenuis,4,38,Ambient,3.01024387,-0.12815,0.054861181,0.06220549,0.637995231
1285,S1251,JAN2019_13-123_A. tenuis_2,13-123,2,A. tenuis,5,2,Ambient,3.902854744,-0.126661844,0.068374903,0.06313929,0.603033523
2270,S2182,JAN2019_11-049_A. tenuis_60,11-049,60,A. tenuis,5,1,Ambient,4.353206824,-0.06507,0.055355695,0.06438084,0.650499355
2242,S2154,JAN2019_11-049_A. tenuis_45,11-049,45,A. tenuis,2,23,Ambient,8.295238234,0.542813,0.118588786,0.06452696,0.6501924
2269,S2181,JAN2019_11-049_A. tenuis_59,11-049,59,A. tenuis,4,1,Ambient,1.997627347,-0.42706,0.258535432,0.065542273,0.645977638
968,S972,JAN2019_13-124_A. tenuis_170,13-124,170,A. tenuis,3,B4,Ambient,4.361769959,-0.18379,0.045242713,0.06596743,0.687438906
2241,S2153,JAN2019_11-049_A. tenuis_43,11-049,43,A. tenuis,1,23,Ambient,6.380030546,-0.1881,0.095689131,0.066503231,0.641274303
1324,S1290,JAN2019_13-123_A. tenuis_5,13-123,5,A. tenuis,2,16,Ambient,4.740058054,-0.234827012,0.028790488,0.066866221,0.676100514
1297,S1263,JAN2019_13-123_A. tenuis_24,13-123,24,A. tenuis,7,3,Ambient,4.33266127,-0.781342027,0.015087963,0.067691932,0.68247441
2227,S2139,JAN2019_11-049_A. tenuis_24,11-049,24,A. tenuis,2,24,Ambient,1.686354872,-0.31382,0.117308856,0.067928132,0.665965256
1325,S1291,JAN2019_13-123_A. tenuis_22,13-123,22,A. tenuis,3,16,Ambient,5.234581666,-0.717645214,0.034943791,0.067966294,0.659695823
2244,S2156,JAN2019_11-049_A. tenuis_47,11-049,47,A. tenuis,4,23,Ambient,7.178865967,0.528135,0.107996079,0.068785566,0.669169713
1862,S1745,JAN2019_Lagoon_A. tenuis_12,Lagoon,12,A. tenuis,2,75,Ambient,2.106033455,-1.53422,0.040636614,0.06949916,0.677286425
1457,S1421,JAN2019_Creech_A. tenuis_83,Creech,83,A. tenuis,2,28,Ambient,4.63818253,0.009405699,0.022268841,0.069853459,0.680684684
1364,S1330,JAN2019_13-123_A. tenuis_2,13-123,2,A. tenuis,6,26,Ambient,2.516340575,-0.132638421,0.120819964,0.070629056,0.673635213
1456,S1420,JAN2019_Creech_A. tenuis_81,Creech,81,A. tenuis,1,28,Ambient,2.865471388,-0.098160836,0.051456734,0.070794566,0.678183402
1669,S1667,JAN2019_Lagoon_A. tenuis_96,Lagoon,96,A. tenuis,4,14,Ambient,3.301738491,-1.056813,0.059080396,0.070913539,0.688233742
