SampleID,GenotypeID,Species,ClipID,RackID,Treatment,Tank,Size,Chla_ug_cm2,Zoox_ug_protein,Zoox_cm2,BeforeColour,AfterColour,ColourChange,CatalaseU,Surface,Protein_ug_cm2
1325,JAN2019_13-123_A. tenuis_22,A. tenuis,3,16,Ambient,5,Large,5.234581666,1158306.94,22460459.77,7.030803689,6.313158475,-0.717645214,0.034943791,8.071895425,0.067966294
1326,JAN2019_13-123_A. tenuis_22,A. tenuis,4,16,Ambient,5,Small,6.00978732,-3490380.711,17725490.2,6.553306983,6.578548182,0.0252412,0,2.876254181,0
1327,JAN2019_13-123_A. tenuis_23,A. tenuis,5,16,Ambient,5,Large,3.58208307,-790491.9699,9825408.805,6.13168643,6.042694026,-0.088992403,0,8.996655518,0
1328,JAN2019_13-123_A. tenuis_23,A. tenuis,6,16,Ambient,5,Small,4.671927072,-1274518.156,15141666.67,7.018682477,6.993256661,-0.025425816,0,2.058823529,0
1329,JAN2019_13-123_A. tenuis_24,A. tenuis,7,16,Ambient,5,Large,4.08059383,545236.7775,16438176.1,6.997865613,6.246745546,-0.751120067,0.050724386,16.12040134,0.095538936
1330,JAN2019_13-123_A. tenuis_24,A. tenuis,8,16,Ambient,5,Small,5.775261718,-906741.4722,20880503.14,6.976179183,6.193612444,-0.782566739,0,1.705685619,0
1339,JAN2019_13-123_A. tenuis_29,A. tenuis,1,21,Ambient,5,Large,7.009177651,566300.9205,16861044.18,7.629986825,7.362154559,-0.267832266,0.006443862,8.300653595,0.111643712
1340,JAN2019_13-123_A. tenuis_29,A. tenuis,2,21,Ambient,5,Small,8.882160845,1044491.457,17591538.46,7.932977602,7.748014231,-0.184963371,0.011334998,3.545150502,0.060997576
1341,JAN2019_13-123_A. tenuis_1,A. tenuis,3,21,Ambient,5,Large,4.332302644,NA,10362428.41,6.603280632,6.204823763,-0.398456869,NA,8.929765886,NA
1342,JAN2019_13-123_A. tenuis_1,A. tenuis,4,21,Ambient,5,Small,4.610547592,6001145.455,20995121.95,7.013926219,6.898767169,-0.11515905,0.138233505,2.20735786,0.008122793
1343,JAN2019_13-123_A. tenuis_2,A. tenuis,5,21,Ambient,5,Large,2.325236038,169605.9466,4690862.291,6.888550725,6.247007557,-0.641543168,0.091828223,9.933110368,0.090143855
1344,JAN2019_13-123_A. tenuis_2,A. tenuis,6,21,Ambient,5,Small,2.649325777,2314026.699,15462686.57,6.722028986,6.49779359,-0.224235395,0.211952683,2.54180602,0.022017043
1345,JAN2019_13-123_A. tenuis_3,A. tenuis,7,21,Ambient,5,Large,4.898042461,909499.4364,24746666.67,8.137180501,7.379681725,-0.757498775,0.081654752,15.55555556,0.097296848
1346,JAN2019_13-123_A. tenuis_3,A. tenuis,8,21,Ambient,5,Small,4.207782491,607029.4906,17579347.83,6.825362319,5.934979867,-0.890382452,0.016558902,3.267973856,0.100650794
1347,JAN2019_13-123_A. tenuis_4,A. tenuis,9,21,Ambient,5,Large,3.762578429,393376.1681,10745336.23,6.931752306,6.765182856,-0.166569449,0.052252175,15.81699346,0.099517388
1348,JAN2019_13-123_A. tenuis_4,A. tenuis,10,21,Ambient,5,Small,3.942284292,493464.2553,16989583.33,6.823570487,6.830795962,0.007225475,0.086797281,5.868055556,0.084488053
1359,JAN2019_13-123_A. tenuis_29,A. tenuis,1,26,Ambient,7,Large,7.54886505,160724666.7,18309375,6.966982872,6.709471013,-0.257511859,1.03776413,5.08361204,0.000531172
1360,JAN2019_13-123_A. tenuis_29,A. tenuis,2,26,Ambient,7,Small,9.722476792,NA,25932467.53,7.638616601,7.474102267,-0.164514334,NA,2.37458194,NA
1361,JAN2019_13-123_A. tenuis_1,A. tenuis,3,26,Ambient,7,Large,3.441427926,3897046.154,20684536.08,6.542806324,6.24080203,-0.302004294,1.718604287,6.339869281,0.020302133
1362,JAN2019_13-123_A. tenuis_1,A. tenuis,4,26,Ambient,7,Small,4.266495184,1366080.392,27219135.8,6.870843215,6.973716145,0.102872931,0.136719114,5.902777778,0.054683544
1363,JAN2019_13-123_A. tenuis_2,A. tenuis,5,26,Ambient,7,Large,3.312546617,NA,12234291.8,6.6185639,6.587456561,-0.031107339,NA,9.346405229,NA
1364,JAN2019_13-123_A. tenuis_2,A. tenuis,6,26,Ambient,7,Small,2.516340575,532266.8122,15038011.7,6.918023715,6.785385294,-0.132638421,0.120819964,6.840277778,0.070629056
1365,JAN2019_13-123_A. tenuis_3,A. tenuis,7,26,Ambient,7,Large,3.855335663,1239638.765,36802919.71,7.902898551,7.00233052,-0.900568031,0.137605976,5.381944444,0.075573317
1366,JAN2019_13-123_A. tenuis_3,A. tenuis,8,26,Ambient,7,Small,2.841024349,418140.9231,12465217.39,6.60458498,5.945529263,-0.659055718,0.089695385,7.5,0.091420534
1367,JAN2019_13-123_A. tenuis_4,A. tenuis,9,26,Ambient,7,Large,3.940681603,NA,9312669.127,6.775401845,6.651497601,-0.123904244,NA,8.660130719,NA
1368,JAN2019_13-123_A. tenuis_4,A. tenuis,10,26,Ambient,7,Small,2.353482024,NA,12131073.45,6.777509881,6.848874731,0.07136485,NA,2.156862745,NA
1559,JAN2019_13-123_P. damicornis_25,P. damicornis,1,2,Ambient,5,Large,1.337902469,NA,NA,6.314746765,6.415463219,0.100716454,0.282181535,12.32931727,0.047503817
1560,JAN2019_13-123_P. damicornis_25,P. damicornis,2,2,Ambient,5,Small,1.357790514,NA,NA,6.135964212,5.821281476,-0.314682735,0.661745023,7.510040161,0.025044843
1561,JAN2019_13-123_P. damicornis_6,P. damicornis,3,2,Ambient,5,Large,2.91839544,NA,NA,8.055120626,7.344559721,-0.710560906,0.509636971,7.791164659,0.034622096
1562,JAN2019_13-123_P. damicornis_6,P. damicornis,4,2,Ambient,5,Small,2.938588426,NA,NA,6.868509347,6.261769459,-0.606739887,3.015367534,6.104417671,0.010093231
1563,JAN2019_13-123_P. damicornis_9,P. damicornis,5,2,Ambient,5,Large,3.020699535,NA,NA,7.871651489,7.558938533,-0.312712956,0.897497787,5.050167224,0.015561375
1564,JAN2019_13-123_P. damicornis_9,P. damicornis,6,2,Ambient,5,Small,NA,NA,NA,7.671939074,7.21974871,-0.452190365,0.226232603,11.37123746,0.013260688
1565,JAN2019_13-123_P. damicornis_21,P. damicornis,7,2,Ambient,5,Large,4.765900792,NA,NA,9.078944098,8.369584485,-0.709359614,0.299827316,10.52208835,0.048519262
1566,JAN2019_13-123_P. damicornis_21,P. damicornis,8,2,Ambient,5,Small,NA,NA,NA,8.448154657,7.893019134,-0.555135524,0.093724227,7.871485944,0.034433709
1575,JAN2019_13-123_P. damicornis_27,P. damicornis,1,5,Ambient,6,Large,2.133566316,NA,NA,7.097885711,7.230175695,0.132289983,0.869345864,28.19727891,0.054131302
1576,JAN2019_13-123_P. damicornis_27,P. damicornis,2,5,Ambient,6,Small,1.930285737,NA,NA,6.976780103,6.746155049,-0.230625054,0,6.425702811,0
1577,JAN2019_13-123_P. damicornis_26,P. damicornis,3,5,Ambient,6,Large,1.155744042,NA,NA,6.650050594,6.466399041,-0.183651553,1.167888681,6.787148594,0.013636231
1578,JAN2019_13-123_P. damicornis_26,P. damicornis,4,5,Ambient,6,Small,3.775031546,NA,NA,6.94637056,6.807569991,-0.138800569,0,4.21686747,0
1579,JAN2019_13-123_P. damicornis_28,P. damicornis,5,5,Ambient,6,Large,1.869226086,NA,NA,8.240507003,7.964913195,-0.275593808,0.464556543,16.46586345,0.069262613
1580,JAN2019_13-123_P. damicornis_28,P. damicornis,6,5,Ambient,6,Small,1.900084889,NA,NA,8.388986526,8.021375319,-0.367611207,0.451796904,8.192771084,0.058481366
1581,JAN2019_13-123_P. damicornis_11,P. damicornis,7,5,Ambient,6,Large,2.143735052,NA,NA,7.467806359,6.98972942,-0.478076939,0.342181561,17.12374582,0.061491624
1582,JAN2019_13-123_P. damicornis_11,P. damicornis,8,5,Ambient,6,Small,2.328672216,NA,NA,6.884592853,6.576038788,-0.308554065,0.590028926,9.236947791,0.035779771
1583,JAN2019_13-123_P. damicornis_7,P. damicornis,9,5,Ambient,6,Large,2.46749791,NA,NA,7.328220696,7.182107294,-0.146113402,1.340635211,19.23694779,0.057496998
1584,JAN2019_13-123_P. damicornis_7,P. damicornis,10,5,Ambient,6,Small,2.504430365,NA,NA,6.726740161,6.470934779,-0.255805382,0.383475257,7.18875502,0.037377379
1595,JAN2019_13-123_P. damicornis_25,P. damicornis,1,10,Ambient,7,Large,NA,NA,NA,7.118602546,6.7805641,-0.338038446,0.69492953,23.50340136,0.054903187
1596,JAN2019_13-123_P. damicornis_25,P. damicornis,2,10,Ambient,7,Small,2.782936079,NA,NA,7.302870533,6.386059121,-0.916811412,0,4.684385382,0
1597,JAN2019_13-123_P. damicornis_6,P. damicornis,3,10,Ambient,7,Large,5.307251498,NA,NA,7.808808649,7.280798707,-0.528009942,0.151163701,13.50340136,0.073256123
1598,JAN2019_13-123_P. damicornis_6,P. damicornis,4,10,Ambient,7,Small,4.699708525,NA,NA,7.880012782,7.177154476,-0.702858306,NA,10.44217687,0.06276196
1599,JAN2019_13-123_P. damicornis_9,P. damicornis,5,10,Ambient,7,Large,3.009340469,NA,NA,7.693561272,7.08711746,-0.606443812,NA,9.829931973,0.038072185
1600,JAN2019_13-123_P. damicornis_9,P. damicornis,6,10,Ambient,7,Small,2.844982788,NA,NA,7.200777547,6.518116887,-0.68266066,NA,6.12244898,0.011110274
1601,JAN2019_13-123_P. damicornis_21,P. damicornis,7,10,Ambient,7,Large,2.189921317,NA,NA,8.093092613,6.830300819,-1.262791795,0.344904113,15.98006645,0.053734741
1602,JAN2019_13-123_P. damicornis_21,P. damicornis,8,10,Ambient,7,Small,4.49573696,NA,NA,8.785269212,7.90568792,-0.879581292,0.321615662,8.129251701,0.031216288
1613,JAN2019_13-123_P. damicornis_27,P. damicornis,1,19,Ambient,7,Large,1.176151166,NA,NA,7.950151781,7.469475001,-0.48067678,0,12.57028112,0
1614,JAN2019_13-123_P. damicornis_27,P. damicornis,2,19,Ambient,7,Small,4.760108452,NA,NA,7.520796719,7.040665242,-0.480131478,0,4.816053512,0
1615,JAN2019_13-123_P. damicornis_26,P. damicornis,3,19,Ambient,7,Large,1.175980135,NA,NA,6.838419343,6.332047339,-0.506372004,7.159172119,11.00334448,0.001547232
1616,JAN2019_13-123_P. damicornis_26,P. damicornis,4,19,Ambient,7,Small,2.614267702,NA,NA,6.952761357,6.218810281,-0.733951076,0,7.228915663,0
1617,JAN2019_13-123_P. damicornis_28,P. damicornis,5,19,Ambient,7,Large,0.965337161,NA,NA,7.905203174,7.392628122,-0.512575053,0.54288573,11.37123746,0.053779457
1618,JAN2019_13-123_P. damicornis_28,P. damicornis,6,19,Ambient,7,Small,5.554106413,NA,NA,8.608403898,7.792607268,-0.815796631,0.3909526,7.023411371,0.051259411
1619,JAN2019_13-123_P. damicornis_11,P. damicornis,7,19,Ambient,7,Large,3.407858009,NA,NA,7.925280929,7.421250196,-0.504030733,0.941692485,14.74916388,0.046775992
