"","TimePoint","emmean","SE","df","lower.CL","upper.CL","Timepoint.num"
"1","T0",-9.2211740566271,26.0135502781624,37,-61.9296335668686,43.4872854536144,0
"2","T1",-66.065741050601,26.0135508650336,37,-118.774201749956,-13.3572803512455,2
"3","T2",100.26006814632,23.8169178352134,37,52.0024087360268,148.517727556613,6
"4","T3",31.194649879599,25.6137073664508,37,-20.7036509365367,83.0929506957348,10
"5","T4",-43.7523734172065,24.2577536917035,37,-92.9032511173527,5.39850428293977,14
"6","T5",-97.6056396967714,25.7021834482928,37,-149.683210083094,-45.5280693104491,24
"7","T6",-83.8050308988638,22.4470871039861,37,-129.287149605918,-38.3229121918093,48
