"","time","emmean","SE","df","lower.CL","upper.CL","Timepoint.num"
"1","T0",-5.84522006051256,2.4342963934856,51,-10.7322739922126,-0.958166128812501,0
"2","T1",-9.69413536937329,2.1683249236411,51,-14.0472292948465,-5.3410414439001,2
"3","T2",-7.45703186941887,2.16832492364087,51,-11.8101257948916,-3.10393794394614,6
"4","T3",-5.24821355212133,2.16832492364057,51,-9.60130747759347,-0.89511962664919,10
"5","T4",-5.44906582895847,2.16832492364071,51,-9.80215975443089,-1.09597190348605,14
"6","T5",-10.2728096682307,2.28850811297239,51,-14.8671814140702,-5.67843792239123,24
"7","T6",-37.9446256551813,2.16832492364088,51,-42.297719580654,-33.5915317297085,48
