"","TimePoint","emmean","SE","df","lower.CL","upper.CL","Timepoint.num"
"1","T0",-26.4418583923117,11.2506811687831,39,-49.1985090366379,-3.68520774798563,0
"2","T1",-37.3310643011943,12.1521245604627,39,-61.9110563087979,-12.7510722935907,2
"3","T2",-50.4902224392327,11.2506811693319,39,-73.2468730846689,-27.7335717937965,6
"4","T3",-84.0555450819474,12.1521245521676,39,-108.635537072773,-59.4755530911222,10
"5","T4",-84.5188332854256,11.2506811664502,39,-107.275483925033,-61.7621826458183,14
"6","T5",-100.000341992319,11.2506811691826,39,-122.756992637454,-77.2436913471852,24
"7","T6",-100.000217378287,10.524048574661,39,-121.287114872279,-78.7133198842939,48
