"","TimePoint","emmean","SE","df","lower.CL","upper.CL","Timepoint.num"
"1","T0",-9.98444424182311,3.13869134220314,53,-16.2798618319859,-3.6890266516603,0
"2","T1",-14.4781440518617,3.04393643057332,53,-20.5835073574863,-8.3727807462371,2
"3","T2",-18.9452214982994,3.04393643057338,53,-25.0505848039242,-12.8398581926747,6
"4","T3",-25.3166869845848,3.0439364305735,53,-31.4220502902098,-19.2113236789599,10
"5","T4",-34.7156709780287,3.04393643057442,53,-40.8210342836555,-28.6103076724019,14
"6","T5",-40.6821701438667,3.04393643057373,53,-46.7875334494921,-34.5768068382412,24
"7","T6",-47.7982193518624,3.0439364305742,53,-53.9035826574887,-41.692856046236,48
