"","TimePoint","emmean","SE","df","lower.CL","upper.CL","Timepoint.num"
"1","T0",-24.1751045863902,9.89591216442679,45,-44.1064948128294,-4.24371435995102,0
"2","T1",-41.4623525432392,10.6888065249322,45,-62.9907139881968,-19.9339910982817,2
"3","T2",-51.9007752765813,9.25677823501535,45,-70.5448836898442,-33.2566668633184,6
"4","T3",-65.3613057260266,8.72737421331913,45,-82.9391397051039,-47.7834717469492,10
"5","T4",-59.419693291198,9.25677817667932,45,-78.0638015869661,-40.77558499543,14
"6","T5",-83.8233236618725,9.89591211506852,45,-103.754713788899,-63.891933534846,24
"7","T6",-78.2316953286997,8.72737421026498,45,-95.8095293016257,-60.6538613557737,48
